QALY,Cost,Delta_Cost,Delta_QALY,ICER,cost_scenario,transition_source,efficacy_duration,hr_factor
18.405098120940764,493387.5261547128,3884.392306200345,0.1550126205106963,25058.55518991314,6829,_trial_high,6,0.75
18.356178210113796,495065.8640817503,5562.730233237846,0.10609270968372897,52432.72841103596,6829,_trial_high,6,0.5
18.304530575432644,496835.51574107434,7332.3818925619125,0.054445075002576004,134674.8423473563,6829,_trial_high,6,0.25
18.85906477910332,498958.1267757198,9454.992927207379,0.6089792786732531,15525.968219815966,6829,_trial_high,20,1.0
18.73785385350461,503268.5130305283,13765.379182015895,0.4877683530745429,28221.140414807127,6829,_trial_high,20,0.75
18.596996526561227,508252.3298485633,18749.19600005087,0.34691102613115987,54046.12303375502,6829,_trial_high,20,0.5
18.434891130925973,513954.3714706438,24451.23762213136,0.18480563049590515,132307.8607319442,6829,_trial_high,20,0.25
20.15879139142216,514288.62443911,24785.49059059756,1.908705890992092,12985.49488822228,6829,_trial_high,80,1.0
19.861822017152864,526142.114831398,36638.98098288558,1.6117365167227966,22732.61206328251,6829,_trial_high,80,0.75
19.451897790704333,542163.1919387823,52660.058090269915,1.2018122902742654,43817.20715990712,6829,_trial_high,80,0.5
18.91563750524932,562583.3677060043,73080.23385749187,0.6655520048192543,109803.94218380946,6829,_trial_high,80,0.25
20.950365089907873,527629.572910571,38126.43906205858,2.7002795894778053,14119.441264758689,6829,_trial_high,lifetime,1.0
20.54815832524917,544938.0326429562,55434.89879444381,2.2980728248191014,24122.342075389846,6829,_trial_high,lifetime,0.75
19.964122869980063,569768.2150038211,80265.08115530864,1.7140373695499953,46828.081219945336,6829,_trial_high,lifetime,0.5
19.19005150212653,601556.6140789313,112053.48023041885,0.9399660016964617,119210.14167340458,6829,_trial_high,lifetime,0.25
